10	9.78	70.00
20	28.97	80.00
30	33.95	90.00
40	33.21	97.50
50	37.64	98.00
60	44.65	100.00
70	55.54	95.71
80	62.92	97.50
90	66.24	100.00
100	68.08	98.00
110	69.74	97.27
120	74.17	97.50
130	75.28	98.46
140	74.54	99.29
150	79.52	99.33
160	79.70	98.75
170	81.55	98.82
180	83.21	98.33
190	83.03	97.89
200	83.03	98.00
210	83.39	98.10
220	85.06	98.18
230	85.06	97.83
240	85.61	97.92
250	85.24	98.00
260	85.61	98.08
270	85.98	98.15
280	85.79	98.57
290	85.42	98.28
300	86.72	98.33
310	87.08	98.39
320	87.27	98.75
330	88.19	99.09
340	87.82	99.12
350	88.19	99.14
360	89.11	99.17
370	89.11	99.19
380	89.85	99.21
390	90.59	99.49
400	90.77	99.50
410	90.04	99.51
420	91.14	99.52
430	92.07	99.53
440	91.88	99.55
450	91.70	99.56
460	91.88	99.57
470	91.70	99.36
480	92.62	99.38
490	92.25	99.80
500	92.25	99.80
510	92.44	99.80
520	91.88	99.42
530	91.14	99.43
540	92.25	99.07
550	92.25	98.91
560	92.25	98.93
570	92.25	98.95
580	92.44	98.79
590	92.44	98.81
600	92.62	98.83
610	92.80	98.69
620	92.99	98.87
630	92.99	98.73
640	93.36	98.59
650	92.99	98.62
660	92.99	98.48
670	92.80	98.66
680	93.17	98.68
690	92.99	98.70
700	93.17	98.71
710	92.80	98.59
720	92.62	98.75
730	92.25	98.90
740	92.80	99.05
750	92.80	99.07
760	92.62	98.95
770	92.80	98.96
780	92.44	98.97
790	92.62	98.99
800	92.62	98.88
810	92.80	98.89
820	92.80	98.90
830	92.99	98.80
840	93.17	98.81
850	93.17	98.82
860	92.99	98.72
870	93.17	98.74
880	93.17	98.75
890	93.36	98.76
900	93.36	98.78
910	93.36	98.79
920	93.54	98.91
930	93.54	98.82
940	92.99	98.83
950	93.17	98.84
960	93.17	98.85
970	93.17	98.87
980	93.17	98.88
990	93.36	98.89
1000	93.54	99.00
1010	93.36	99.01
1020	93.17	99.02
1030	93.36	99.03
1040	93.73	99.13
1050	94.10	99.14
