10	54.62	100.00	10	73.82	100.00	10	60.26	100.00
20	74.03	100.00	20	75.03	95.00	20	73.50	90.00
30	74.35	100.00	30	75.38	90.00	30	76.24	90.00
40	73.44	100.00	40	78.56	77.50	40	78.15	82.50
50	72.62	100.00	50	78.56	78.00	50	78.85	88.00
60	72.15	100.00	60	78.56	75.00	60	77.26	85.00
70	71.41	100.00	70	71.91	81.43	70	78.12	85.71
80	71.09	100.00	80	67.88	85.00	80	77.09	91.25
90	71.12	100.00	90	71.26	86.67	90	78.18	88.89
100	71.50	100.00	100	70.65	87.00	100	76.71	85.00
110	72.32	100.00	110	75.06	93.64	110	78.21	87.27
120	71.76	100.00	120	73.38	85.83	120	79.00	85.83
130	72.03	100.00	130	76.15	86.15	130	80.65	86.15
140	72.26	100.00	140	76.32	82.86	140	79.71	85.71
150	72.21	100.00	150	81.94	82.67	150	80.79	85.33
160	71.26	100.00	160	76.47	92.50	160	81.32	85.00
170	71.06	100.00	170	79.38	80.00	170	81.71	84.12
180	71.15	100.00	180	80.88	93.33	180	82.06	86.11
190	72.68	100.00	190	81.65	92.63	190	81.65	84.74
200	72.97	100.00	200	83.74	86.50	200	81.24	85.50
210	73.44	100.00	210	83.53	86.67	210	81.91	84.29
220	73.53	100.00	220	80.82	92.27	220	81.00	84.09
230	73.74	100.00	230	81.76	93.48	230	80.24	84.35
240	74.18	100.00	240	83.15	87.08	240	80.82	85.42
250	74.38	100.00	250	83.15	87.20	250	81.03	85.60
260	74.21	100.00	260	83.65	86.92	260	81.15	84.23
270	73.68	100.00	270	83.65	87.04	270	81.32	83.70
280	73.79	100.00	280	83.65	86.79	280	81.97	83.93
290	74.91	100.00	290	83.88	87.24	290	81.50	85.52
300	74.85	100.00	300	83.53	85.67	300	81.00	84.33
310	75.12	100.00	310	83.47	87.74	310	81.09	84.52
320	75.47	100.00	320	84.47	85.94	320	80.47	83.75
330	75.76	100.00	330	84.09	84.55	330	80.97	84.55
340	75.68	100.00	340	84.65	84.71	340	81.18	84.41
350	75.88	100.00	350	84.65	84.57	350	81.21	84.00
360	76.62	100.00	360	84.35	85.56	360	80.00	83.89
370	76.62	100.00	370	81.15	88.11	370	80.26	84.05
380	76.74	100.00	380	80.53	87.11	380	80.41	84.21
390	76.82	100.00	390	81.15	88.21	390	80.38	84.36
400	77.15	100.00	400	81.47	89.50	400	81.24	85.75
410	77.53	100.00	410	80.88	87.80	410	82.44	85.37
420	77.68	100.00	420	79.29	85.48	420	82.03	85.48
430	77.76	100.00	430	79.29	85.58	430	82.00	86.05
440	77.85	100.00	440	82.59	85.91	440	81.68	85.45
450	77.91	100.00	450	79.12	84.67	450	82.82	86.89
460	77.82	100.00	460	79.29	83.70	460	82.15	85.22
470	77.88	100.00	470	80.56	84.68	470	81.91	85.11
480	77.88	100.00	480	80.18	85.42	480	82.62	84.79
490	78.03	100.00	490	81.38	84.69	490	82.76	85.31
500	77.91	100.00	500	81.62	84.60	500	82.59	85.40
510	77.82	100.00	510	84.41	84.90	510	82.62	85.49
520	77.97	100.00	520	84.41	85.00	520	82.88	85.38
