10	10.70	80.00
20	23.99	90.00
30	27.86	90.00
40	28.60	85.00
50	36.72	92.00
60	39.48	90.00
70	41.88	90.00
80	47.42	91.25
90	46.86	91.11
100	47.42	92.00
110	49.26	92.73
120	51.85	93.33
130	53.32	88.46
140	56.09	87.86
150	54.43	90.00
160	54.43	90.00
170	54.61	90.00
180	55.90	91.11
190	55.17	88.95
200	55.54	88.50
210	59.78	90.00
220	59.04	90.91
230	61.25	90.43
240	63.10	91.25
250	60.52	91.20
260	61.07	90.38
270	62.36	91.48
280	64.58	90.71
290	66.42	92.07
300	66.79	90.33
310	67.71	91.29
320	65.13	92.19
330	65.31	90.30
340	64.58	91.76
350	63.84	92.86
360	63.28	93.33
370	64.94	91.35
380	65.31	91.05
390	64.58	91.79
400	64.58	92.00
410	65.68	92.20
420	67.90	91.43
430	67.34	92.33
440	67.34	92.05
450	67.34	92.00
460	68.63	91.52
470	67.34	92.13
480	68.08	91.67
490	68.27	91.63
500	66.97	92.00
510	69.00	91.76
520	69.37	92.69
530	65.87	92.83
540	69.74	91.30
550	70.30	91.27
560	68.08	91.96
570	68.82	92.11
580	70.66	92.07
590	70.11	91.69
600	71.77	91.50
610	71.77	91.31
620	71.59	91.77
630	73.25	92.06
640	73.43	91.88
650	73.25	91.23
660	72.51	90.91
670	72.32	91.49
680	73.25	91.18
690	71.77	91.45
700	72.69	91.00
710	71.59	91.27
720	71.77	90.97
730	72.14	90.68
740	72.51	91.08
750	72.69	91.60
760	73.62	91.97
770	73.25	91.82
780	73.43	92.05
790	74.35	92.15
800	72.88	92.00
810	74.91	92.47
820	72.32	93.54
830	71.40	93.13
840	72.69	93.33
850	72.51	93.29
860	72.51	93.37
870	75.28	92.87
880	76.20	92.95
890	74.91	92.13
900	74.35	93.11
910	73.62	92.75
920	73.80	92.17
930	72.32	92.58
940	74.17	92.77
950	71.96	93.05
960	72.69	93.02
970	74.72	93.20
980	75.28	93.27
990	75.28	93.43
1000	73.62	93.40
1010	74.35	92.87
1020	74.91	92.84
1030	75.09	92.91
1040	75.65	93.17
1050	76.75	93.14
