Classifier	trainPctCorrect	testPctCorrect	trainTime	testTime
J48	93.89	76.40	0.13	0.01
ModifiedMultilayerPerceptron	99.18	93.79	122.38	0.32
SMO	100.00	95.54	1.04	3.09
IBk	100.00	91.65	0.00	3.65
AdaBoostM1	100.00	92.59	5.95	0.16
