bits	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
50	50	91800	91800	36.72	36.72	50	50	50	0	0	50	50	1	1836	1836	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	149800	149800	59.92	59.92	50	50	50	0	0	50	50	1	2996	2996	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	252600	252600	101.04	101.04	50	50	50	0	0.02	50	50	1	5052	5052	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	151400	151400	60.56	60.56	50	50	50	0	0	50	50	1	3028	3028	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	170400	170400	68.16	68.16	50	50	50	0	0.02	50	50	1	3408	3408	0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	249600	249600	99.84	99.84	50	50	50	0	0.02	50	50	1	4992	4992	0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	287200	287200	114.88	114.88	50	50	50	0	0.02	50	50	1	5744	5744	0	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	450800	450800	180.32	180.32	50	50	50	0	0.04	50	50	1	9016	9016	0	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	50	229542	229542	91.8168	91.8168	50	50	50	0	0.14	50	50	1	4591	4591	0.1	Mimicker(size=200,keep=2)
50	51	487626	467526	191.300902	183.415457	49	50	50	0.1	0.33	50	50	0.9804	9753	9351	0.3	Mimicker(size=200,keep=4)
50	54	635361	554961	235.668027	205.846068	49	49.9	50	0.3	0.35	50	50	0.9259	12707	11099	0.4	Mimicker(size=200,keep=6)
50	50	246615	246615	98.646	98.646	50	50	50	0	0.14	50	50	1	4932	4932	0.1	Mimicker(size=400,keep=2)
