bits	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
100	100	3.630000	3.630000	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	363	363	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
100	100	3.839300	3.839300	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	384	384	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
100	100	3.732700	3.732700	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	373	373	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
100	100	3.874900	3.874900	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	387	387	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
100	100	3.993600	3.993600	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	399	399	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
100	100	4.293300	4.293300	100.0	100.0	100.0	0.0	0.00	100.0	100	1.0000	429	429	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
100	100	15.410200	15.410200	100.0	100.0	100.0	0.0	0.01	100.0	100	1.0000	1541	1541	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
100	100	29.850000	29.850000	100.0	100.0	100.0	0.0	0.02	100.0	100	1.0000	2985	2985	0.0		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
100	106	75.181724	73.709053	98.0	99.9	100.0	0.3	0.04	100.0	100	0.9434	7964	7808	0.0		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
100	100	29.340000	29.340000	100.0	100.0	100.0	0.0	0.03	100.0	100	1.0000	2934	2934	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
100	104	80.569450	78.645633	99.0	100.0	100.0	0.2	0.04	100.0	100	0.9615	8376	8176	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
100	104	121.250601	119.326599	98.0	100.0	100.0	0.3	0.06	100.0	100	0.9615	12604	12404	0.1		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
100	100	51.000000	51.000000	100.0	100.0	100.0	0.0	0.04	100.0	100	1.0000	5100	5100	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
100	100	55.280000	55.280000	100.0	100.0	100.0	0.0	0.05	100.0	100	1.0000	5528	5528	0.1		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
100	106	122.333396	116.669813	99.0	99.9	100.0	0.2	0.07	100.0	100	0.9434	12960	12360	0.1		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
100	100	95.560000	95.560000	100.0	100.0	100.0	0.0	0.08	100.0	100	1.0000	9556	9556	0.1		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
100	103	189.686316	186.772846	99.0	100.0	100.0	0.2	0.11	100.0	100	0.9709	19532	19232	0.1		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
100	296	76.806110	59.894546	96.0	98.9	100.0	1.1	0.76	100.0	100	0.3378	22477	17528	2.2		Mimicker(size=100,keep=2)
100	226	75.222267	61.014068	96.0	99.1	100.0	1.0	0.77	100.0	100	0.4425	16844	13662	1.8		Mimicker(size=100,keep=3)
100	234	75.127929	60.529404	95.0	99.0	100.0	1.1	0.78	100.0	100	0.4274	17412	14029	1.8		Mimicker(size=100,keep=4)
100	269	73.372827	57.348004	95.0	99.0	100.0	1.1	0.75	100.0	100	0.3717	19538	15271	2.0		Mimicker(size=100,keep=5)
100	176	114.896520	93.074910	97.0	99.4	100.0	0.7	0.78	100.0	100	0.5682	20108	16289	1.4		Mimicker(size=200,keep=2)
100	171	108.444314	87.476051	98.0	99.5	100.0	0.6	0.75	100.0	100	0.5848	18452	14884	1.3		Mimicker(size=200,keep=3)
100	174	106.477436	84.963319	97.0	99.3	100.0	0.9	0.75	100.0	100	0.5747	18404	14685	1.3		Mimicker(size=200,keep=4)
100	226	114.151916	85.878718	96.0	99.1	100.0	1.0	0.82	100.0	100	0.4425	25563	19232	1.9		Mimicker(size=200,keep=5)
200	100	4.210550	4.210550	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	842	842	0.0		HillClimber(neighbor=SingleBitFlipper)
200	100	4.167700	4.167700	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	834	834	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
200	100	4.142450	4.142450	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	828	828	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
200	100	4.285100	4.285100	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	857	857	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
200	100	4.231850	4.231850	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	846	846	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
200	100	4.252200	4.252200	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	850	850	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
200	100	4.291300	4.291300	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	858	858	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
200	100	4.430200	4.430200	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	886	886	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
200	100	4.397650	4.397650	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	880	880	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
200	100	4.494250	4.494250	200.0	200.0	200.0	0.0	0.00	200.0	100	1.0000	899	899	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
200	100	9.971100	9.971100	200.0	200.0	200.0	0.0	0.02	200.0	100	1.0000	1994	1994	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
200	154	34.333312	29.940782	197.0	199.6	200.0	0.6	0.10	200.0	100	0.6494	10552	9202	0.2		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
200	148	88.250432	84.095757	196.0	199.5	200.0	0.8	0.15	200.0	100	0.6757	26063	24836	0.2		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
200	106	27.507785	26.092290	199.0	199.9	200.0	0.2	0.09	200.0	100	0.9434	5830	5530	0.1		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
200	153	109.450780	100.766811	196.0	199.5	200.0	0.9	0.20	200.0	100	0.6536	33400	30750	0.3		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
200	141	149.612734	142.258225	196.0	199.6	200.0	0.7	0.25	200.0	100	0.7092	42110	40040	0.4		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
200	101	40.784197	40.536660	199.0	200.0	200.0	0.1	0.12	200.0	100	0.9901	8238	8188	0.1		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
200	100	43.260000	43.260000	200.0	200.0	200.0	0.0	0.16	200.0	100	1.0000	8652	8652	0.2		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
200	160	189.047619	170.250627	196.0	199.5	200.0	0.7	0.37	200.0	100	0.6250	60344	54344	0.6		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
200	100	75.720000	75.720000	200.0	200.0	200.0	0.0	0.23	200.0	100	1.0000	15144	15144	0.2		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
200	128	244.786860	233.773954	198.0	199.8	200.0	0.5	0.41	200.0	100	0.7813	62592	59776	0.5		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
