Unpruned	ReducedError	PruneConfidence	MinInstancesPerLeaf	trainPctCorrect	testPctCorrect	trainTime	testTime
false	false	0.3	3	91.71	75.77	0.08
false	false	0.3	4	89.39	76.08	0.07
false	false	0.3	5	87.65	76.52	0.06
false	false	0.3	6	86.02	75.45	0.06
false	false	0.3	7	84.65	74.89	0.06
false	false	0.3	8	83.54	75.33	0.06
false	false	0.3	9	82.12	73.63	0.06
false	false	0.3	10	80.97	73.07	0.06
false	false	0.3	11	80.14	71.68	0.06
false	false	0.3	12	79.10	71.50	0.06
false	false	0.3	13	78.27	70.30	0.05
false	false	0.3	14	77.49	69.61	0.05
false	false	0.3	15	76.46	68.48	0.05
false	false	0.3	16	75.78	67.23	0.05
false	false	0.3	17	75.40	67.92	0.05
false	false	0.3	18	74.79	66.92	0.04
false	false	0.3	19	74.13	67.54	0.05
false	false	0.3	20	73.90	67.10	0.04
false	false	0.3	21	73.53	67.29	0.04
false	false	0.3	22	73.36	66.48	0.04
false	false	0.3	23	73.19	66.41	0.04
false	false	0.3	24	72.46	66.60	0.04
false	false	0.35	1	98.86	75.77	0.10
false	false	0.35	2	94.14	76.46	0.09
false	false	0.35	3	91.71	75.77	0.08
false	false	0.35	4	89.40	76.08	0.07
false	false	0.35	5	87.66	76.52	0.07
false	false	0.35	6	86.02	75.45	0.06
false	false	0.35	7	84.68	74.89	0.06
false	false	0.35	8	83.55	75.27	0.06
false	false	0.35	9	82.14	73.82	0.06
false	false	0.35	10	81.01	73.26	0.05
false	false	0.35	11	80.16	71.68	0.05
false	false	0.35	12	79.11	71.50	0.05
false	false	0.35	13	78.31	70.43	0.05
false	false	0.35	14	77.53	69.55	0.05
false	false	0.35	15	76.52	68.36	0.05
false	false	0.35	16	75.80	67.17	0.05
false	false	0.35	17	75.44	67.92	0.05
false	false	0.35	18	74.80	66.85	0.04
false	false	0.35	19	74.14	67.35	0.04
false	false	0.35	20	73.91	66.92	0.04
false	false	0.35	21	73.54	67.29	0.04
false	false	0.35	22	73.36	66.48	0.04
false	false	0.35	23	73.20	66.41	0.04
false	false	0.35	24	72.46	66.60	0.04
false	false	0.4	1	98.95	75.77	0.09
false	false	0.4	2	94.14	76.46	0.08
false	false	0.4	3	91.71	75.77	0.07
false	false	0.4	4	89.40	76.08	0.07
false	false	0.4	5	87.66	76.52	0.06
false	false	0.4	6	86.02	75.45	0.06
false	false	0.4	7	84.68	74.89	0.06
false	false	0.4	8	83.55	75.27	0.06
false	false	0.4	9	82.14	73.82	0.05
false	false	0.4	10	81.01	73.26	0.05
false	false	0.4	11	80.16	71.68	0.05
