1	83.44	83.26	1	87.27	90.87
2	83.65	83.65	2	92.07	96.57
3	83.56	83.82	3	92.80	99.14
4	83.94	84.00	4	92.62	99.52
5	84.12	84.14	5	92.07	99.90
6	83.88	84.12	6	92.99	99.90
7	84.12	84.18	7	92.80	99.90
8	84.06	84.12	8	92.62	99.90
9	84.18	84.27	9	92.62	99.90
10	84.24	84.35	10	92.44	100.00
11	84.26	84.47	11	92.44	100.00
12	84.21	84.61	12	92.44	100.00
13	84.03	84.71	13	92.25	100.00
14	84.18	84.77	14	92.25	100.00
15	84.06	84.76	15	92.25	100.00
16	83.91	84.91	16	92.25	100.00
17	83.74	84.77	17	92.44	100.00
18	83.44	84.71	18	92.44	100.00
19	82.94	84.39	19	92.44	100.00
20	82.76	84.29	20	92.44	100.00
21	82.32	84.29	21	92.44	100.00
22	82.68	84.41	22	92.44	100.00
23	82.88	84.52	23	92.44	100.00
24	83.26	84.76	24	92.44	100.00
25	83.47	84.82	25	92.44	100.00
26	83.29	84.83	26	92.44	100.00
27	83.38	84.91	27	92.44	100.00
28	83.26	84.91	28	92.44	100.00
29	83.24	85.05	29	92.44	100.00
30	83.38	85.20	30	92.44	100.00
31	83.41	85.11	31	92.44	100.00
32	83.21	85.02	32	92.44	100.00
33	83.18	85.09	33	92.44	100.00
34	83.24	85.05	34	92.44	100.00
35	83.15	84.94	35	92.44	100.00
36	83.12	84.92	36	92.44	100.00
37	82.74	84.86	37	92.44	100.00
38	83.12	84.92	38	92.44	100.00
39	83.41	84.94	39	92.44	100.00
40	83.74	85.71	40	92.44	100.00
41	83.88	85.94	41	92.44	100.00
42	84.09	85.92	42	92.44	100.00
43	84.24	86.12	43	92.44	100.00
44	84.12	86.05	44	92.44	100.00
45	84.21	86.08	45	92.44	100.00
46	84.41	86.20	46	92.44	100.00
47	84.50	86.18	47	92.44	100.00
48	84.32	86.14	48	92.44	100.00
49	84.26	86.18	49	92.44	100.00
50	84.12	86.21	50	92.44	100.00
